Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","14573.8","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5412","Yield","01510","Potatoes","2023","2023","kg/ha","27233.1","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5412","Yield","01510","Potatoes","2023","2023","kg/ha","33627.9","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5412","Yield","01510","Potatoes","2023","2023","kg/ha","7059.6","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","01510","Potatoes","2023","2023","kg/ha","35975.2","E","Estimated value",""
"QCL","Crops and livestock products","051","Armenia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","19498.9","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","42071.1","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","01510","Potatoes","2023","2023","kg/ha","28808.9","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","20435.8","A","Official figure",""
"QCL","Crops and livestock products","048","Bahrain","5412","Yield","01510","Potatoes","2023","2023","kg/ha","15000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01510","Potatoes","2023","2023","kg/ha","22900.6","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5412","Yield","01510","Potatoes","2023","2023","kg/ha","21950.3","E","Estimated value",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","01510","Potatoes","2023","2023","kg/ha","42026.4","A","Official figure",""
"QCL","Crops and livestock products","084","Belize","5412","Yield","01510","Potatoes","2023","2023","kg/ha","12767.2","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5412","Yield","01510","Potatoes","2023","2023","kg/ha","6800","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","11637","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5412","Yield","01510","Potatoes","2023","2023","kg/ha","5587.9","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5412","Yield","01510","Potatoes","2023","2023","kg/ha","14550","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5412","Yield","01510","Potatoes","2023","2023","kg/ha","3886.5","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01510","Potatoes","2023","2023","kg/ha","33929","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5412","Yield","01510","Potatoes","2023","2023","kg/ha","16985.8","A","Official figure",""
"QCL","Crops and livestock products","854","Burkina Faso","5412","Yield","01510","Potatoes","2023","2023","kg/ha","1938.1","E","Estimated value",""
"QCL","Crops and livestock products","108","Burundi","5412","Yield","01510","Potatoes","2023","2023","kg/ha","10953.7","E","Estimated value",""
"QCL","Crops and livestock products","132","Cabo Verde","5412","Yield","01510","Potatoes","2023","2023","kg/ha","14480","A","Official figure",""
"QCL","Crops and livestock products","120","Cameroon","5412","Yield","01510","Potatoes","2023","2023","kg/ha","10587.5","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01510","Potatoes","2023","2023","kg/ha","41772.9","A","Official figure",""
"QCL","Crops and livestock products","140","Central African Republic","5412","Yield","01510","Potatoes","2023","2023","kg/ha","1065.9","E","Estimated value",""
